Quantity,Unit Price
10,0.64
20,0.64
30,0.63
40,0.53
50,0.53
60,0.52
70,0.51
80,0.51
90,0.5
100,0.49
110,0.49
120,0.49
130,0.49
140,0.49
150,0.49
160,0.49
170,0.49
180,0.49
190,0.49
200,0.49
250,0.49
300,0.43
400,0.38
500,0.34
600,0.32
700,0.3
800,0.28
900,0.26
1000,0.25
1500,0.21
2000,0.19
2500,0.18
3000,0.17
4000,0.15
5000,0.14
10000,0.13
15000,0.12
20000,0.12
,
URL: https://www.vistaprint.com/stationery/custom-envelopes,
