Quantity,Unit Price
50,0.47
100,0.38
250,0.27
500,0.19
750,0.15
1000,0.12
1500,0.09
2000,0.09
2500,0.08
5000,0.06
,
URL: https://www.vistaprint.com/marketing-materials/rack-cards,
