Quantity,Unit Price
50,2.25
100,1.75
200,1.52
400,1.29
600,1.22
800,1.18
1000,1.15
1200,1.12
1600,1.08
2000,1.06
3000,1.03
4000,1.01
5000,1
,
URL: https://www.vistaprint.com/promotional-products/writing-office/pens/cross-soft-touch-pen,
