Quantity,Unit Price
10,2.5
25,2.1
50,1.65
100,1.1
200,0.75
300,0.75
400,0.7
500,0.7
1000,0.65
2000,0.6
,
URL: https://www.moo.com/us/new/products/die-cut-stickers/die-cut-coated-paper-white-2-x-2-single,
